scenario,margin_case,distribution_model,dependency_model,rho,subsystem,simulations,deterministic_load_kw,capacity_kw,mean_load_kw,std_load_kw,p95_load_kw,p99_load_kw,max_load_kw,p95_spare_capacity_kw,p99_spare_capacity_kw,p95_load_to_capacity_ratio,p99_load_to_capacity_ratio,max_load_to_capacity_ratio,p95_capacity_margin_pct,p99_capacity_margin_pct,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower,overload_probability_ci95_upper,rule_of_three_upper_if_zero,independent_p99_load_to_capacity_ratio,independent_p99_spare_capacity_kw,independent_p99_load_kw,independent_overload_probability_pct,delta_p99_load_to_capacity_ratio,delta_p99_spare_capacity_kw,delta_p99_load_kw,delta_overload_probability_pct
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.25,CW,100000,3814.61147772621,4068.06,3814.6561305995465,15.590551614687154,3840.412937499207,3850.0347192291615,3871.6768488225343,227.6470625007928,218.02528077083844,0.944040387186818,0.9464055887152996,0.9517256011028683,5.595961281318191,5.359441128470043,0,0.0,0.0,0.0,0.0,3e-05,0.9401163637867194,243.6102251337984,3824.4497748662016,0.0,0.006289224928580195,-25.58494436295996,25.58494436295996,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.25,FW,100000,11172.36557800847,11734.66,11172.410230881806,15.590551614687158,11198.167037781466,11207.788819511421,11229.430949104793,536.4929622185336,526.8711804885788,0.9542813373188032,0.9551012828246768,0.9569455739752829,4.571866268119687,4.489871717532326,0,0.0,0.0,0.0,0.0,3e-05,0.9529209943150002,552.4561248515402,11182.20387514846,0.0,0.0021802885096765534,-25.584944362961323,25.584944362961323,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.25,HVAC,100000,1026.73344657341,1159.42,1026.7468906021916,3.8503895749118793,1033.0862508767832,1035.5268972557094,1039.9887877193544,126.33374912321688,123.89310274429067,0.891037114140504,0.8931421721685924,0.8969905536555816,10.896288585949602,10.685782783140766,0,0.0,0.0,0.0,0.0,3e-05,0.8879983593169145,129.85694224078293,1029.5630577592171,0.0,0.005143812851677865,-5.963839496492255,5.963839496492255,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.5,CW,100000,3814.61147772621,4068.06,3814.6261216916787,21.668055600054142,3850.631488294643,3862.815398025144,3885.1491219449754,217.42851170535687,205.24460197485587,0.9465522849453162,0.949547302160033,0.9550373204783055,5.344771505468377,5.045269783996693,0,0.0,0.0,0.0,0.0,3e-05,0.9401163637867194,243.6102251337984,3824.4497748662016,0.0,0.009430938373313658,-38.365623158942526,38.365623158942526,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.5,FW,100000,11172.36557800847,11734.66,11172.380221973937,21.66805560005414,11208.385588576903,11220.569498307403,11242.903222227234,526.2744114230973,514.0905016925972,0.9551521380744651,0.9561904220750668,0.9580936492601605,4.484786192553489,4.380957792493325,0,0.0,0.0,0.0,0.0,3e-05,0.9529209943150002,552.4561248515402,11182.20387514846,0.0,0.0032694277600665567,-38.36562315894298,38.36562315894298,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.5,HVAC,100000,1026.73344657341,1159.42,1026.7368416860106,5.314363602693411,1035.5539209127583,1038.5786376665706,1043.8224585607713,123.86607908724181,120.84136233342952,0.893165480078624,0.8957742989309918,0.9002970955829391,10.683451992137604,10.422570106900823,0,0.0,0.0,0.0,0.0,3e-05,0.8879983593169145,129.85694224078293,1029.5630577592171,0.0,0.0077759396140772985,-9.015579907353413,9.015579907353413,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.75,CW,100000,3814.61147772621,4068.06,3814.7301010170763,26.408008174536533,3858.643996150925,3871.9529235090254,3887.350751514372,209.41600384907497,196.10707649097458,0.9485218989274802,0.9517934650691056,0.9555785193714872,5.147810107251981,4.820653493089448,0,0.0,0.0,0.0,0.0,3e-05,0.9401163637867194,243.6102251337984,3824.4497748662016,0.0,0.011677101282386193,-47.50314864282382,47.50314864282382,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.75,FW,100000,11172.36557800847,11734.66,11172.484201299336,26.408008174536537,11216.398096433184,11229.707023791285,11245.10485179663,518.2619035668158,504.952976208715,0.9558349450630171,0.9569691004077907,0.9582812669303269,4.41650549369829,4.303089959220931,0,0.0,0.0,0.0,0.0,3e-05,0.9529209943150002,552.4561248515402,11182.20387514846,0.0,0.004048106092790493,-47.50314864282518,47.50314864282518,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.75,HVAC,100000,1026.73344657341,1159.42,1026.7634798025197,6.449259238972073,1037.4763698720778,1040.6979582477447,1044.4709474917775,121.94363012792223,118.72204175225534,0.8948235927205652,0.8976022133892331,0.9008564174257624,10.517640727943474,10.239778661076688,0,0.0,0.0,0.0,0.0,3e-05,0.8879983593169145,129.85694224078293,1029.5630577592171,0.0,0.009603854072318563,-11.134900488527592,11.134900488527592,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.25,CW,100000,3814.61147772621,4068.06,3814.6631927555745,12.612988556556248,3835.480632187067,3843.3886841138924,3861.6870453608517,232.57936781293301,224.67131588610755,0.9428279406368311,0.9447718775322617,0.9492699334230202,5.717205936316894,5.522812246773832,0,0.0,0.0,0.0,0.0,3e-05,0.9401163637867194,243.6102251337984,3824.4497748662016,0.0,0.004655513745542295,-18.938909247690844,18.938909247690844,0.0
