scenario,margin_case,distribution_model,dependency_model,rho,subsystem,p99_load_to_capacity_ratio,independent_p99_load_to_capacity_ratio,delta_p99_load_to_capacity_ratio,p99_spare_capacity_kw,delta_p99_spare_capacity_kw,overload_probability_pct
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,HVAC,0.9714281532892712,0.852850350421709,0.11857780286756225,10.65529879383206,-44.22122002340001,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,HVAC,0.9704998039167196,0.852850350421709,0.11764945349501066,11.00150812533775,-43.87501069189432,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.75,HVAC,0.959021313112152,0.8506738763747734,0.10834743673737857,15.282181701085165,-40.406009582470574,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,HVAC,0.9586433395201357,0.8506738763747734,0.10796946314536227,15.423139392755786,-40.26505189079995,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,CW,1.0229121883121466,0.9253277757200656,0.09758441259208095,-31.895599105572956,-135.8453090811838,4.077
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.5,HVAC,0.9482963806087593,0.852850350421709,0.09544603018705033,19.281830779575387,-35.59468803765668,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,HVAC,0.9476102044813609,0.852850350421709,0.09475985405965193,19.537726442766086,-35.33879237446598,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,CW,1.0132797478614004,0.9233486512447155,0.08993109661668486,-18.48647140289836,-125.19128097815452,2.558
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.5,HVAC,0.9381822460415659,0.8506738763747734,0.08750836966679243,23.053694983718856,-32.63449629983688,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,HVAC,0.9381820902266811,0.8506738763747734,0.08750821385190766,23.053753091763838,-32.6344381917919,0.0
