scenario,margin_case,distribution_model,dependency_model,rho,subsystem,capacity_kw,p99_load_kw,p99_spare_capacity_kw,p99_capacity_margin_pct,p99_load_to_capacity_ratio,delta_p99_load_to_capacity_ratio,delta_p99_spare_capacity_kw,overload_probability_pct,rule_of_three_upper_if_zero
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,FW,4871.78,5003.217758889282,-131.43775888928212,-2.6979411814425553,1.0269794118144255,0.04836372392946553,-235.61742296509237,9.225,
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,CW,1392.08,1423.9755991055729,-31.895599105572956,-2.291218831214654,1.0229121883121466,0.09758441259208095,-135.8453090811838,4.077,
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,FW,4871.78,4974.560623439531,-102.78062343953115,-2.109713973938297,1.0210971397393829,0.04463959460565203,-217.47428420792403,7.034999999999999,
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,FW,11734.66,11971.81981083934,-237.15981083934093,-2.021019874792631,1.0202101987479264,0.04263788104105959,-500.34103713727745,6.941999999999999,
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,CW,4068.06,4135.878854975619,-67.81885497561916,-1.6671055730647817,1.0166710557306478,0.0662377107561758,-269.4589816187686,4.488,
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,FW,4871.78,4950.565241973453,-78.7852419734536,-1.6171756929387944,1.016171756929388,0.03755606904442799,-182.96490604926385,5.116,
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,FW,11734.66,11901.723648172905,-167.06364817290523,-1.4236769380016567,1.0142367693800165,0.038692570207886856,-454.04415591568613,5.077,
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,CW,1392.08,1410.5664714028983,-18.48647140289836,-1.3279747861400466,1.0132797478614004,0.08993109661668486,-125.19128097815452,2.558,
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,FW,4871.78,4928.096754366914,-56.31675436691421,-1.1559790131515424,1.0115597901315154,0.03510224499778458,-171.01041513530708,3.592,
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,FW,11734.66,11859.825388893574,-125.16538889357435,-1.0666298716245237,1.0106662987162451,0.033093981009378326,-388.34661519151086,3.457,
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,CW,4068.06,4109.36675546593,-41.306755465929655,-1.0153919919059613,1.0101539199190597,0.06078994108503044,-247.29712773036854,2.947,
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,FW,11734.66,11806.398060688418,-71.73806068841805,-0.611334803806996,1.00611334803807,0.03056914886594031,-358.71856843119895,2.262,
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,CW,4068.06,4085.5261585949775,-17.466158594977514,-0.42934859847144624,1.0042934859847144,0.05386014101024239,-219.10628523812696,1.6199999999999999,
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,CW,1392.08,1397.5544652280803,-5.474465228080362,-0.3932579469628442,1.0039325794696285,0.07860480374956291,-109.42417520369122,1.3419999999999999,
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,4871.78,4886.199046584667,-14.41904658466683,-0.2959708070698355,1.0029597080706985,0.024344020185738446,-118.59871066047707,1.534,
