column,dtype,blank_count,blank_pct
PBS Code,object,186,7.57020757020757
Teamcenter ID,object,577,23.483923483923483
BOM ID,object,80,3.2560032560032557
Item Description,object,0,0.0
HVAC Load,float64,131,5.331705331705332
HVAC Scenario Alpha Lf,float64,138,5.616605616605617
HVAC Scenario Alpha Uf,float64,138,5.616605616605617
HVAC Scenario Alpha Load,float64,138,5.616605616605617
HVAC Scenario Bravo Lf,float64,1724,70.16687016687017
HVAC Scenario Bravo Uf,float64,1724,70.16687016687017
HVAC Scenario Bravo Load,float64,1724,70.16687016687017
HVAC CMM,float64,759,30.89133089133089
HVAC CUM,float64,759,30.89133089133089
HVAC DBM,float64,759,30.89133089133089
HVAC IGM,float64,759,30.89133089133089
CW Load,float64,2258,91.9006919006919
CW Scenario Alpha Lf,float64,2260,91.98209198209199
CW Scenario Alpha Uf,float64,2260,91.98209198209199
CW Scenario Alpha Load,float64,2260,91.98209198209199
CW Scenario Bravo Lf,float64,2289,93.16239316239316
CW Scenario Bravo Uf,float64,2289,93.16239316239316
CW Scenario Bravo Load,float64,2289,93.16239316239316
CW CMM,float64,2258,91.9006919006919
CW CUM,float64,2258,91.9006919006919
CW DBM,float64,2258,91.9006919006919
CW IGM,float64,2258,91.9006919006919
FW Load,float64,2391,97.31379731379731
FW Scenario Alpha Lf,float64,2391,97.31379731379731
FW Scenario Alpha Uf,float64,2391,97.31379731379731
FW Scenario Alpha Load,float64,2391,97.31379731379731
FW Scenario Bravo Lf,float64,2391,97.31379731379731
FW Scenario Bravo Uf,float64,2391,97.31379731379731
FW Scenario Bravo Load,float64,2391,97.31379731379731
FW CMM,float64,2391,97.31379731379731
FW CUM,float64,2391,97.31379731379731
FW DBM,float64,2391,97.31379731379731
FW IGM,float64,2391,97.31379731379731
