system,margin,blank_count,min,median,mean,max
CW,cmm,0,0.0,0.1,0.08643216080402008,0.1
CW,cum,0,0.0,0.0,0.059547738693467335,0.15
CW,dbm,0,0.0,0.04,0.06020100502512562,0.1
CW,igm,0,0.0,0.0,0.0,0.0
CW,margin_case_a,0,0.0,0.0,0.059547738693467335,0.15
CW,margin_case_b,0,0.0,0.1,0.14597989949748746,0.25
CW,margin_case_c,0,0.0,0.14,0.20618090452261312,0.35
FW,cmm,0,0.0,0.0,0.0,0.0
FW,cum,0,0.0,0.0,0.0,0.0
FW,dbm,0,0.0,0.08,0.06575757575757576,0.1
FW,igm,0,0.0,0.05,0.039545454545454536,0.05
FW,margin_case_a,0,0.0,0.0,0.0,0.0
FW,margin_case_b,0,0.0,0.0,0.0,0.0
FW,margin_case_c,0,0.0,0.13,0.1053030303030303,0.13
HVAC,cmm,628,0.1,0.1,0.09999999999999998,0.1
HVAC,cum,628,0.0,0.0,0.024646643109540633,0.15
HVAC,dbm,628,0.04,0.04,0.05002355712603062,0.1
HVAC,igm,628,0.0,0.0,0.0,0.0
HVAC,margin_case_a,0,0.0,0.0,0.017992261392949266,0.15
HVAC,margin_case_b,0,0.0,0.1,0.09099312123817713,0.25
HVAC,margin_case_c,0,0.0,0.14,0.12751074806534826,0.35
