column,blank_count,blank_pct
FW IGM,2391,97.31379731379731
FW DBM,2391,97.31379731379731
FW CUM,2391,97.31379731379731
FW CMM,2391,97.31379731379731
FW Scenario Bravo Load,2391,97.31379731379731
FW Scenario Bravo Uf,2391,97.31379731379731
FW Scenario Bravo Lf,2391,97.31379731379731
FW Scenario Alpha Load,2391,97.31379731379731
FW Scenario Alpha Uf,2391,97.31379731379731
FW Scenario Alpha Lf,2391,97.31379731379731
FW Load,2391,97.31379731379731
CW Scenario Bravo Load,2289,93.16239316239316
CW Scenario Bravo Uf,2289,93.16239316239316
CW Scenario Bravo Lf,2289,93.16239316239316
CW Scenario Alpha Lf,2260,91.98209198209199
CW Scenario Alpha Uf,2260,91.98209198209199
CW Scenario Alpha Load,2260,91.98209198209199
CW Load,2258,91.9006919006919
CW DBM,2258,91.9006919006919
CW IGM,2258,91.9006919006919
CW CMM,2258,91.9006919006919
CW CUM,2258,91.9006919006919
HVAC Scenario Bravo Lf,1724,70.16687016687017
HVAC Scenario Bravo Uf,1724,70.16687016687017
HVAC Scenario Bravo Load,1724,70.16687016687017
HVAC CUM,759,30.89133089133089
HVAC CMM,759,30.89133089133089
HVAC DBM,759,30.89133089133089
HVAC IGM,759,30.89133089133089
Teamcenter ID,577,23.483923483923483
PBS Code,186,7.57020757020757
HVAC Scenario Alpha Load,138,5.616605616605617
HVAC Scenario Alpha Uf,138,5.616605616605617
HVAC Scenario Alpha Lf,138,5.616605616605617
HVAC Load,131,5.331705331705332
BOM ID,80,3.2560032560032557
Item Description,0,0.0
