scenario,margin_case,distribution_model,subsystem,deterministic_load_kw,mean_load_kw,capacity_kw,overload_probability_pct,mean_minus_deterministic_kw,mean_minus_deterministic_pct
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.73344657341,1026.7390280980767,1159.42,0.0,0.005581524666695259,0.0005436196400655765
Scenario Alpha,Case A - CUM,Triangular,CW,3814.61147772621,3814.6349586881925,4068.06,0.0,0.02348096198238636,0.0006155531728327611
Scenario Alpha,Case A - CUM,Triangular,FW,11172.36557800847,11172.38905897045,11734.66,0.0,0.023480961979657877,0.0002101700111378156
Scenario Alpha,Case A - CUM,Truncated normal,HVAC,1026.73344657341,1026.7388838038303,1159.42,0.0,0.0054372304202843225,0.0005295659198042467
Scenario Alpha,Case A - CUM,Truncated normal,CW,3814.61147772621,3814.610833007355,4068.06,0.0,-0.0006447188552556327,-1.690129804883649e-05
Scenario Alpha,Case A - CUM,Truncated normal,FW,11172.36557800847,11172.364933289613,11734.66,0.0,-0.0006447188570746221,-5.770656648970364e-06
Scenario Alpha,Case B - CMM + CUM,Triangular,HVAC,1026.73344657341,1026.7298238566093,1159.42,0.0,-0.0036227168006917054,-0.0003528390754954028
Scenario Alpha,Case B - CMM + CUM,Triangular,CW,3814.61147772621,3814.6363208800894,4068.06,0.0,0.024843153879373858,0.0006512630191681332
Scenario Alpha,Case B - CMM + CUM,Triangular,FW,11172.36557800847,11172.390421162349,11734.66,0.0,0.024843153878464364,0.00022236252210870437
Scenario Alpha,Case B - CMM + CUM,Truncated normal,HVAC,1026.73344657341,1026.719104822924,1159.42,0.0,-0.01434175048598263,-0.0013968328911312246
Scenario Alpha,Case B - CMM + CUM,Truncated normal,CW,3814.61147772621,3814.576550634331,4068.06,0.0,-0.03492709187912624,-0.000915613348386016
Scenario Alpha,Case B - CMM + CUM,Truncated normal,FW,11172.36557800847,11172.330650916589,11734.66,0.0,-0.034927091881399974,-0.00031262038140024683
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,HVAC,1026.73344657341,1026.690856229894,1159.42,0.0,-0.04259034351593982,-0.004148140265429122
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,CW,3814.61147772621,3814.643635267336,4068.06,0.0,0.03215754112579816,0.0008430096043481321
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,FW,11172.36557800847,11172.446796176737,11734.66,0.0,0.08121816826678696,0.0007269558778729518
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,HVAC,1026.73344657341,1026.7016124668166,1159.42,0.0,-0.03183410659335095,-0.0031005229935377257
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,CW,3814.61147772621,3814.6057548376834,4068.06,0.0,-0.005722888526634051,-0.00015002546288266598
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,FW,11172.36557800847,11172.219796782743,11734.66,0.0,-0.14578122572675056,-0.0013048375897554258
Scenario Bravo,Case A - CUM,Triangular,HVAC,307.292471684,307.296578422895,372.93,0.0,0.0041067388949613814,0.0013364267834014788
Scenario Bravo,Case A - CUM,Triangular,CW,1256.6386696681602,1256.645805997204,1392.08,0.0,0.00713632904376027,0.0005678902946417172
Scenario Bravo,Case A - CUM,Triangular,FW,4636.317392640301,4636.324528969344,4871.78,0.0,0.007136329043532896,0.00015392235775016437
Scenario Bravo,Case A - CUM,Truncated normal,HVAC,307.292471684,307.29991905484906,372.93,0.0,0.007447370849035906,0.0024235448425480163
Scenario Bravo,Case A - CUM,Truncated normal,CW,1256.6386696681602,1256.6451650190718,1392.08,0.0,0.006495350911563946,0.0005168829408440192
Scenario Bravo,Case A - CUM,Truncated normal,FW,4636.317392640301,4636.323887991211,4871.78,0.0,0.006495350910881825,0.00014009720130879214
Scenario Bravo,Case B - CMM + CUM,Triangular,HVAC,307.292471684,307.2998914947419,372.93,0.0,0.007419810741907895,0.0024145761532153496
Scenario Bravo,Case B - CMM + CUM,Triangular,CW,1256.6386696681602,1256.6430661120933,1392.08,0.0,0.004396443933046612,0.00034985744424111814
Scenario Bravo,Case B - CMM + CUM,Triangular,FW,4636.317392640301,4636.3217890842325,4871.78,0.0,0.004396443931909744,9.482620708600899e-05
Scenario Bravo,Case B - CMM + CUM,Truncated normal,HVAC,307.292471684,307.2891391069238,372.93,0.0,-0.003332577076207599,-0.0010844968176228571
Scenario Bravo,Case B - CMM + CUM,Truncated normal,CW,1256.6386696681602,1256.6201428608972,1392.08,0.0,-0.018526807263015144,-0.0014743145909959549
