scenario,margin_case,distribution_model,subsystem,capacity_kw,p95_load_kw,p99_load_kw,p95_spare_capacity_kw,p99_spare_capacity_kw,p95_capacity_margin_pct,p99_capacity_margin_pct,p95_load_to_capacity_ratio,p99_load_to_capacity_ratio
Scenario Alpha,Case A - CUM,Triangular,HVAC,1159.42,1028.8581141623672,1029.5630577592171,130.56188583763287,129.85694224078293,11.2609654687372,11.200164068308544,0.887390345312628,0.8879983593169145
Scenario Alpha,Case A - CUM,Triangular,CW,4068.06,3821.605755669043,3824.4497748662016,246.45424433095693,243.6102251337984,6.058274566524509,5.988363621328062,0.9394172543347549,0.9401163637867194
Scenario Alpha,Case A - CUM,Triangular,FW,11734.66,11179.359855951305,11182.20387514846,555.3001440486969,552.4561248515402,4.7321366281485515,4.7079005684999835,0.9526786337185146,0.9529209943150002
Scenario Alpha,Case A - CUM,Truncated normal,HVAC,1159.42,1029.032268645172,1029.8094413946667,130.38773135482802,129.61055860533338,11.245944640840076,11.178913474438373,0.8875405535915992,0.8882108652556163
Scenario Alpha,Case A - CUM,Truncated normal,CW,4068.06,3822.200294717551,3825.233596957423,245.85970528244889,242.8264030425771,6.043659761223996,5.969095909169901,0.93956340238776,0.940309040908301
Scenario Alpha,Case A - CUM,Truncated normal,FW,11734.66,11179.954394999811,11182.98769723968,554.7056050001884,551.6723027603184,4.727070106847479,4.701221021830359,0.9527292989315252,0.9529877897816963
Scenario Alpha,Case B - CMM + CUM,Triangular,HVAC,1159.42,1034.9990439526152,1038.2488512859147,124.42095604738483,121.17114871408536,10.731310141914477,10.45101418934341,0.8926868985808553,0.8954898581065659
Scenario Alpha,Case B - CMM + CUM,Triangular,CW,4068.06,3836.163813395953,3845.1233270257617,231.8961866040468,222.93667297423823,5.700412152329287,5.480171702832265,0.9429958784767072,0.9451982829716773
Scenario Alpha,Case B - CMM + CUM,Triangular,FW,11734.66,11193.917913678211,11202.877427308022,540.7420863217885,531.7825726919782,4.608076299797255,4.531725441486828,0.9539192370020274,0.9546827455851317
Scenario Alpha,Case B - CMM + CUM,Truncated normal,HVAC,1159.42,1035.7122570157887,1039.1565860676674,123.70774298421134,120.2634139323327,10.669795499837102,10.372722044844206,0.893302045001629,0.8962727795515579
Scenario Alpha,Case B - CMM + CUM,Truncated normal,CW,4068.06,3838.008053882048,3847.808184212983,230.0519461179524,220.2518157870172,5.6550775091309475,5.414173237047074,0.9434492249086907,0.9458582676295294
Scenario Alpha,Case B - CMM + CUM,Truncated normal,FW,11734.66,11195.762154164306,11205.56228449524,538.8978458356942,529.0977155047585,4.592360118109039,4.508845722882116,0.9540763988189096,0.9549115427711787
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,HVAC,1159.42,1038.4137552720806,1042.9795589950688,121.00624472791948,116.44044100493124,10.43679121698086,10.042990547422956,0.8956320878301914,0.8995700945257704
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,CW,4068.06,3848.525772810438,3862.069627735561,219.534227189562,205.99037226443892,5.396533659522278,5.063602116597074,0.9460346634047773,0.9493639788340292
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,FW,11734.66,11374.327825799097,11447.67949225722,360.3321742009048,286.9805077427809,3.070665653720728,2.4455800827870675,0.9692933434627928,0.9755441991721295
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,HVAC,1159.42,1039.483003627406,1044.4563715071122,119.9369963725942,114.96362849288788,10.34456852327838,9.915615436415438,0.8965543147672164,0.9008438456358456
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,CW,4068.06,3851.6947243466666,3866.4198733568505,216.36527565333336,201.64012664314944,5.318635311508025,4.9566655025528,0.9468136468849198,0.950433344974472
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,FW,11734.66,11392.385372051793,11471.478773702063,342.2746279482071,263.1812262979365,2.916783510968423,2.2427682293133038,0.9708321648903158,0.9775723177068669
Scenario Bravo,Case A - CUM,Triangular,HVAC,372.93,309.3809677360682,310.11740662151846,63.54903226393179,62.81259337848155,17.040472009205963,16.842998251275453,0.8295952799079404,0.8315700174872455
Scenario Bravo,Case A - CUM,Triangular,CW,1392.08,1262.1253250338982,1264.320126075082,129.95467496610172,127.75987392491788,9.33528784021764,9.17762441274337,0.9066471215978236,0.9082237558725663
Scenario Bravo,Case A - CUM,Triangular,FW,4871.78,4641.804048006037,4643.9988490472215,229.97595199396247,227.78115095277823,4.720573424784421,4.675522107992935,0.9527942657521558,0.9532447789200706
Scenario Bravo,Case A - CUM,Truncated normal,HVAC,372.93,309.58051744075465,310.3486714696548,63.34948255924536,62.58132853034522,16.986963387028492,16.780985313690294,0.830130366129715,0.832190146863097
Scenario Bravo,Case A - CUM,Truncated normal,CW,1392.08,1262.6014600353487,1264.98356523156,129.4785399646512,127.09643476844008,9.301084705236136,9.12996629277341,0.9069891529476386,0.908700337072266
Scenario Bravo,Case A - CUM,Truncated normal,FW,4871.78,4642.280183007489,4644.662288203699,229.49981699251111,227.11771179630068,4.710800097551842,4.661904104789229,0.9528919990244816,0.9533809589521077
Scenario Bravo,Case B - CMM + CUM,Triangular,HVAC,372.93,312.36475367897947,314.365386825648,60.56524632102054,58.56461317435202,16.240379245708453,15.703915795015691,0.8375962075429154,0.8429608420498431
Scenario Bravo,Case B - CMM + CUM,Triangular,CW,1392.08,1270.7052253332286,1276.5298960943774,121.37477466677136,115.55010390562256,8.718951113928176,8.300536169302235,0.9128104888607182,0.9169946383069776
Scenario Bravo,Case B - CMM + CUM,Triangular,FW,4871.78,4650.383948305368,4656.208619066517,221.39605169463167,215.5713809334829,4.544459144186143,4.424899747802301,0.9545554085581386,0.955751002521977
Scenario Bravo,Case B - CMM + CUM,Truncated normal,HVAC,372.93,312.8420496796719,314.91865198970714,60.087950320328105,58.01134801029286,16.112393832710726,15.555559491135835,0.8388760616728927,0.8444444050886417
