scenario,margin_case,distribution_model,subsystem,capacity_kw,p95_load_kw,p99_load_kw,p95_spare_capacity_kw,p99_spare_capacity_kw,p99_capacity_margin_pct,p99_load_to_capacity_ratio,overload_probability_pct,rule_of_three_upper_if_zero
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,FW,4871.78,4734.001511048214,4767.6003359241895,137.77848895178613,104.17966407581024,2.1384312115040136,0.9786156878849599,0.0,3e-05
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,FW,11734.66,11392.385372051793,11471.478773702063,342.2746279482071,263.1812262979365,2.2427682293133038,0.9775723177068669,0.0,3e-05
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,FW,4871.78,4726.3687415442255,4757.086339231607,145.41125845577426,114.69366076839287,2.354245486626918,0.9764575451337308,0.0,3e-05
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,FW,11734.66,11374.327825799097,11447.67949225722,360.3321742009048,286.9805077427809,2.4455800827870675,0.9755441991721295,0.0,3e-05
Scenario Bravo,Case B - CMM + CUM,Truncated normal,FW,4871.78,4651.558499529235,4657.691806298826,220.22150047076505,214.0881937011736,4.394455285361277,0.9560554471463872,0.0,3e-05
Scenario Bravo,Case B - CMM + CUM,Triangular,FW,4871.78,4650.383948305368,4656.208619066517,221.39605169463167,215.5713809334829,4.424899747802301,0.955751002521977,0.0,3e-05
Scenario Alpha,Case B - CMM + CUM,Truncated normal,FW,11734.66,11195.762154164306,11205.56228449524,538.8978458356942,529.0977155047585,4.508845722882116,0.9549115427711787,0.0,3e-05
Scenario Alpha,Case B - CMM + CUM,Triangular,FW,11734.66,11193.917913678211,11202.877427308022,540.7420863217885,531.7825726919782,4.531725441486828,0.9546827455851317,0.0,3e-05
Scenario Bravo,Case A - CUM,Truncated normal,FW,4871.78,4642.280183007489,4644.662288203699,229.49981699251111,227.11771179630068,4.661904104789229,0.9533809589521077,0.0,3e-05
Scenario Bravo,Case A - CUM,Triangular,FW,4871.78,4641.804048006037,4643.9988490472215,229.97595199396247,227.78115095277823,4.675522107992935,0.9532447789200706,0.0,3e-05
