scenario,margin_case,distribution_model,subsystem,simulations,capacity_kw,mean_load_kw,p95_load_kw,p99_load_kw,overload_count,overload_probability,overload_probability_pct,rule_of_three_upper_if_zero
Scenario Alpha,Case A - CUM,Triangular,HVAC,100000,1159.42,1026.7390280980767,1028.8581141623672,1029.5630577592171,0,0.0,0.0,3e-05
Scenario Alpha,Case A - CUM,Triangular,CW,100000,4068.06,3814.6349586881925,3821.605755669043,3824.4497748662016,0,0.0,0.0,3e-05
Scenario Alpha,Case A - CUM,Triangular,FW,100000,11734.66,11172.38905897045,11179.359855951303,11182.20387514846,0,0.0,0.0,3e-05
Scenario Alpha,Case A - CUM,Truncated normal,HVAC,100000,1159.42,1026.7388838038303,1029.032268645172,1029.8094413946667,0,0.0,0.0,3e-05
Scenario Alpha,Case A - CUM,Truncated normal,CW,100000,4068.06,3814.610833007355,3822.200294717551,3825.233596957423,0,0.0,0.0,3e-05
Scenario Alpha,Case A - CUM,Truncated normal,FW,100000,11734.66,11172.364933289613,11179.954394999811,11182.987697239681,0,0.0,0.0,3e-05
Scenario Alpha,Case B - CMM + CUM,Triangular,HVAC,100000,1159.42,1026.7298238566093,1034.9990439526152,1038.2488512859147,0,0.0,0.0,3e-05
Scenario Alpha,Case B - CMM + CUM,Triangular,CW,100000,4068.06,3814.6363208800894,3836.163813395953,3845.1233270257617,0,0.0,0.0,3e-05
Scenario Alpha,Case B - CMM + CUM,Triangular,FW,100000,11734.66,11172.390421162349,11193.917913678211,11202.877427308022,0,0.0,0.0,3e-05
Scenario Alpha,Case B - CMM + CUM,Truncated normal,HVAC,100000,1159.42,1026.719104822924,1035.7122570157887,1039.1565860676674,0,0.0,0.0,3e-05
Scenario Alpha,Case B - CMM + CUM,Truncated normal,CW,100000,4068.06,3814.576550634331,3838.0080538820475,3847.8081842129827,0,0.0,0.0,3e-05
Scenario Alpha,Case B - CMM + CUM,Truncated normal,FW,100000,11734.66,11172.330650916589,11195.762154164306,11205.562284495241,0,0.0,0.0,3e-05
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,HVAC,100000,1159.42,1026.690856229894,1038.4137552720806,1042.9795589950688,0,0.0,0.0,3e-05
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,CW,100000,4068.06,3814.643635267336,3848.525772810438,3862.069627735561,0,0.0,0.0,3e-05
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,FW,100000,11734.66,11172.446796176737,11374.327825799095,11447.679492257219,0,0.0,0.0,3e-05
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,HVAC,100000,1159.42,1026.7016124668166,1039.4830036274059,1044.4563715071122,0,0.0,0.0,3e-05
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,CW,100000,4068.06,3814.6057548376834,3851.6947243466666,3866.4198733568505,0,0.0,0.0,3e-05
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,FW,100000,11734.66,11172.219796782743,11392.385372051793,11471.478773702063,0,0.0,0.0,3e-05
Scenario Bravo,Case A - CUM,Triangular,HVAC,100000,372.93,307.296578422895,309.3809677360682,310.11740662151846,0,0.0,0.0,3e-05
Scenario Bravo,Case A - CUM,Triangular,CW,100000,1392.08,1256.645805997204,1262.1253250338982,1264.320126075082,0,0.0,0.0,3e-05
Scenario Bravo,Case A - CUM,Triangular,FW,100000,4871.78,4636.324528969344,4641.804048006037,4643.9988490472215,0,0.0,0.0,3e-05
Scenario Bravo,Case A - CUM,Truncated normal,HVAC,100000,372.93,307.29991905484906,309.58051744075465,310.3486714696548,0,0.0,0.0,3e-05
Scenario Bravo,Case A - CUM,Truncated normal,CW,100000,1392.08,1256.6451650190718,1262.6014600353487,1264.9835652315599,0,0.0,0.0,3e-05
Scenario Bravo,Case A - CUM,Truncated normal,FW,100000,4871.78,4636.323887991211,4642.280183007489,4644.662288203699,0,0.0,0.0,3e-05
Scenario Bravo,Case B - CMM + CUM,Triangular,HVAC,100000,372.93,307.2998914947419,312.36475367897947,314.365386825648,0,0.0,0.0,3e-05
Scenario Bravo,Case B - CMM + CUM,Triangular,CW,100000,1392.08,1256.6430661120933,1270.7052253332286,1276.5298960943774,0,0.0,0.0,3e-05
Scenario Bravo,Case B - CMM + CUM,Triangular,FW,100000,4871.78,4636.3217890842325,4650.383948305368,4656.208619066517,0,0.0,0.0,3e-05
Scenario Bravo,Case B - CMM + CUM,Truncated normal,HVAC,100000,372.93,307.2891391069238,312.8420496796719,314.91865198970714,0,0.0,0.0,3e-05
Scenario Bravo,Case B - CMM + CUM,Truncated normal,CW,100000,1392.08,1256.6201428608972,1271.8797765570953,1278.0130833266858,0,0.0,0.0,3e-05
Scenario Bravo,Case B - CMM + CUM,Truncated normal,FW,100000,4871.78,4636.298865833037,4651.558499529235,4657.691806298826,0,0.0,0.0,3e-05
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,HVAC,100000,372.93,307.3035613399237,314.4439556542841,317.24180871644427,0,0.0,0.0,3e-05
