scenario,margin_case,distribution_model,subsystem,capacity_kw,p99_load_kw,p99_spare_capacity_kw,p99_capacity_margin_pct,p99_load_to_capacity_ratio
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,FW,4871.78,4767.6003359241895,104.17966407581024,2.1384312115040136,0.9786156878849599
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,FW,11734.66,11471.478773702063,263.1812262979365,2.2427682293133038,0.9775723177068669
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,FW,4871.78,4757.086339231607,114.69366076839287,2.354245486626918,0.9764575451337308
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,FW,11734.66,11447.67949225722,286.9805077427809,2.4455800827870675,0.9755441991721295
Scenario Bravo,Case B - CMM + CUM,Truncated normal,FW,4871.78,4657.691806298826,214.0881937011736,4.394455285361277,0.9560554471463872
Scenario Bravo,Case B - CMM + CUM,Triangular,FW,4871.78,4656.208619066517,215.5713809334829,4.424899747802301,0.955751002521977
Scenario Alpha,Case B - CMM + CUM,Truncated normal,FW,11734.66,11205.56228449524,529.0977155047585,4.508845722882116,0.9549115427711787
Scenario Alpha,Case B - CMM + CUM,Triangular,FW,11734.66,11202.877427308022,531.7825726919782,4.531725441486828,0.9546827455851317
Scenario Bravo,Case A - CUM,Truncated normal,FW,4871.78,4644.662288203699,227.11771179630068,4.661904104789229,0.9533809589521077
Scenario Bravo,Case A - CUM,Triangular,FW,4871.78,4643.9988490472215,227.78115095277823,4.675522107992935,0.9532447789200706
Scenario Alpha,Case A - CUM,Truncated normal,FW,11734.66,11182.98769723968,551.6723027603184,4.701221021830359,0.9529877897816963
Scenario Alpha,Case A - CUM,Triangular,FW,11734.66,11182.20387514846,552.4561248515402,4.7079005684999835,0.9529209943150002
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,CW,4068.06,3866.4198733568505,201.64012664314944,4.9566655025528,0.950433344974472
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,CW,4068.06,3862.069627735561,205.99037226443892,5.063602116597074,0.9493639788340292
Scenario Alpha,Case B - CMM + CUM,Truncated normal,CW,4068.06,3847.808184212983,220.2518157870172,5.414173237047074,0.9458582676295294
Scenario Alpha,Case B - CMM + CUM,Triangular,CW,4068.06,3845.1233270257617,222.93667297423823,5.480171702832265,0.9451982829716773
Scenario Alpha,Case A - CUM,Truncated normal,CW,4068.06,3825.233596957423,242.8264030425771,5.969095909169901,0.940309040908301
Scenario Alpha,Case A - CUM,Triangular,CW,4068.06,3824.4497748662016,243.6102251337984,5.988363621328062,0.9401163637867194
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,CW,1392.08,1288.130290024389,103.94970997561086,7.467222427993425,0.9253277757200657
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,CW,1392.08,1285.3751904247438,106.70480957525616,7.66513487552843,0.9233486512447157
Scenario Bravo,Case B - CMM + CUM,Truncated normal,CW,1392.08,1278.0130833266858,114.06691667331415,8.19399148564121,0.918060085143588
Scenario Bravo,Case B - CMM + CUM,Triangular,CW,1392.08,1276.5298960943774,115.55010390562256,8.300536169302235,0.9169946383069776
Scenario Bravo,Case A - CUM,Truncated normal,CW,1392.08,1264.98356523156,127.09643476844008,9.12996629277341,0.908700337072266
Scenario Bravo,Case A - CUM,Triangular,CW,1392.08,1264.320126075082,127.75987392491788,9.17762441274337,0.9082237558725663
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,HVAC,1159.42,1044.4563715071122,114.96362849288788,9.915615436415438,0.9008438456358456
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,HVAC,1159.42,1042.9795589950688,116.44044100493124,10.042990547422956,0.8995700945257704
Scenario Alpha,Case B - CMM + CUM,Truncated normal,HVAC,1159.42,1039.1565860676674,120.2634139323327,10.372722044844206,0.8962727795515579
Scenario Alpha,Case B - CMM + CUM,Triangular,HVAC,1159.42,1038.2488512859147,121.17114871408536,10.45101418934341,0.8954898581065659
Scenario Alpha,Case A - CUM,Truncated normal,HVAC,1159.42,1029.8094413946667,129.61055860533338,11.178913474438373,0.8882108652556163
Scenario Alpha,Case A - CUM,Triangular,HVAC,1159.42,1029.5630577592171,129.85694224078293,11.200164068308544,0.8879983593169145
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,HVAC,372.93,318.05348118276794,54.87651881723207,14.714964957829102,0.852850350421709
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,HVAC,372.93,317.24180871644427,55.68819128355574,14.932612362522654,0.8506738763747734
Scenario Bravo,Case B - CMM + CUM,Truncated normal,HVAC,372.93,314.91865198970714,58.01134801029286,15.555559491135835,0.8444444050886417
Scenario Bravo,Case B - CMM + CUM,Triangular,HVAC,372.93,314.365386825648,58.56461317435202,15.703915795015691,0.8429608420498431
Scenario Bravo,Case A - CUM,Truncated normal,HVAC,372.93,310.3486714696548,62.58132853034522,16.780985313690294,0.832190146863097
Scenario Bravo,Case A - CUM,Triangular,HVAC,372.93,310.11740662151846,62.81259337848155,16.842998251275453,0.8315700174872455
