scenario,margin_case,distribution_model,subsystem,sampled_load_kw
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.8940618003069
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.701039979331
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.0146292246939
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.7920598203593
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.9328475493119
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.1556901547458
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.2772860437155
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.709389033808
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.7212679143727
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.3324640173446
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.4898458484636
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.2624254882364
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.20054067455
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.3659816438026
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.1815586612618
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.1458448050237
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.079055398825
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.1667067696226
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.988053683636
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.117159895331
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4544895591616
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.6105299257426
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.7886923995045
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5833147325004
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.5991123836907
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8598237958288
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.8322918016459
Scenario Alpha,Case A - CUM,Triangular,HVAC,1023.3623042341394
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.5392788615395
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6107189924364
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.773832213659
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.0662126568918
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.20229887463
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.8823294311992
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.3483774898136
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.3333856821655
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6466392632265
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.141236071128
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.4055908602008
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.2442289277244
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.38303690459
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.0649108989285
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.9763989777007
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.9655342170693
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.5685006496542
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.0973811794297
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.9967947037571
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.7042453385711
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.453630019476
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.4268590625447
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6007417926696
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.3863504065678
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.463588531727
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.411553397984
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.1917618708644
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.1235271532362
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4976600738094
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.3827493134395
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.2455060425377
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.7192240448708
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8664482162535
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.9783862581041
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.4798922384712
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4591144732644
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.2362219891406
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.5239184582158
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.1574682110897
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.491457381374
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6945039101765
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.567746689522
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6658276489889
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.9741170972422
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.2492267691182
Scenario Alpha,Case A - CUM,Triangular,HVAC,1023.6331866706012
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.0537931549782
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5812087964962
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.3686239956094
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.2060594466689
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.4976610902072
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.3285361224234
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6193677072067
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.105840826084
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5933612979466
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.7901059062485
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.8385437624015
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5088659523522
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.652751183343
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.5331168920259
