scenario,margin_case,distribution_model,subsystem,simulations,deterministic_load_kw,capacity_kw,mean_load_kw,std_load_kw,p01_load_kw,p05_load_kw,p50_load_kw,p95_load_kw,p99_load_kw,min_load_kw,max_load_kw,mean_spare_capacity_kw,p95_spare_capacity_kw,p99_spare_capacity_kw,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower,overload_probability_ci95_upper,rule_of_three_upper_if_zero,mean_load_to_capacity_ratio,p95_load_to_capacity_ratio,p99_load_to_capacity_ratio,max_load_to_capacity_ratio,p95_capacity_margin_pct,p99_capacity_margin_pct
Scenario Alpha,Case A - CUM,Triangular,HVAC,100000,1026.73344657341,1159.42,1026.7390280980767,1.2772753610841974,1023.9254960838977,1024.6360638217582,1026.7343856231676,1028.8581141623672,1029.5630577592171,1021.6974755612158,1031.42617863424,132.6809719019234,130.56188583763287,129.85694224078293,0,0.0,0.0,0,0.0,3e-05,0.8855626331252494,0.887390345312628,0.8879983593169145,0.8896053014733573,11.2609654687372,11.200164068308544
Scenario Alpha,Case A - CUM,Triangular,CW,100000,3814.61147772621,4068.06,3814.634958688193,4.25172022218555,3804.777571920312,3807.6138610808666,3814.6580506808255,3821.605755669043,3824.4497748662016,3797.876925059943,3832.584678131778,253.4250413118075,246.45424433095693,243.6102251337984,0,0.0,0.0,0,0.0,3e-05,0.9377037110288916,0.9394172543347549,0.9401163637867194,0.9421160646922067,6.058274566524509,5.988363621328062
Scenario Alpha,Case A - CUM,Triangular,FW,100000,11172.36557800847,11734.66,11172.38905897045,4.251720222185552,11162.531672202573,11165.367961363128,11172.412150963086,11179.359855951305,11182.20387514846,11155.631025342202,11190.338778414038,562.2709410295502,555.3001440486969,552.4561248515402,0,0.0,0.0,0,0.0,3e-05,0.9520845988695411,0.9526786337185146,0.9529209943150002,0.9536142315511517,4.7321366281485515,4.7079005684999835
Scenario Alpha,Case A - CUM,Truncated normal,HVAC,100000,1026.73344657341,1159.42,1026.7388838038305,1.3948684184467586,1023.677353621505,1024.4331300858817,1026.7429732719447,1029.032268645172,1029.8094413946667,1021.7874069069684,1031.523653414877,132.6811161961698,130.38773135482802,129.61055860533338,0,0.0,0.0,0,0.0,3e-05,0.8855625086714309,0.8875405535915992,0.8882108652556163,0.8896893734926746,11.245944640840076,11.178913474438373
Scenario Alpha,Case A - CUM,Truncated normal,CW,100000,3814.61147772621,4068.06,3814.610833007355,4.620453815229283,3804.0178041069794,3807.0127062700776,3814.60241458144,3822.200294717551,3825.233596957423,3792.547042075577,3833.5939711361007,253.4491669926452,245.85970528244889,242.8264030425771,0,0.0,0.0,0,0.0,3e-05,0.937697780516353,0.93956340238776,0.940309040908301,0.9423641664911778,6.043659761223996,5.969095909169901
Scenario Alpha,Case A - CUM,Truncated normal,FW,100000,11172.36557800847,11734.66,11172.364933289611,4.620453815229282,11161.77190438924,11164.766806552336,11172.3565148637,11179.954394999811,11182.98769723968,11150.301142357835,11191.34807141836,562.2950667103869,554.7056050001884,551.6723027603184,0,0.0,0.0,0,0.0,3e-05,0.9520825429360212,0.9527292989315252,0.9529877897816963,0.9537002411163477,4.727070106847479,4.701221021830359
Scenario Alpha,Case B - CMM + CUM,Triangular,HVAC,100000,1026.73344657341,1159.42,1026.7298238566093,5.013534303277474,1015.1980009861688,1018.443692645782,1026.7459386955857,1034.9990439526152,1038.2488512859147,1006.0534826818622,1048.2031343155934,132.69017614339077,124.42095604738483,121.17114871408536,0,0.0,0.0,0,0.0,3e-05,0.8855546944649991,0.8926868985808553,0.8954898581065659,0.9040754293660566,10.731310141914477,10.45101418934341
Scenario Alpha,Case B - CMM + CUM,Triangular,CW,100000,3814.61147772621,4068.06,3814.6363208800894,13.120414664430012,3784.3119734037314,3793.105803554953,3814.63578568008,3836.163813395953,3845.1233270257617,3764.6208505904056,3868.35686081985,253.4236791199105,231.8961866040468,222.93667297423823,0,0.0,0.0,0,0.0,3e-05,0.9377040458793846,0.9429958784767072,0.9451982829716773,0.9509094902287208,5.700412152329287,5.480171702832265
Scenario Alpha,Case B - CMM + CUM,Triangular,FW,100000,11172.36557800847,11734.66,11172.390421162349,13.120414664430012,11142.06607368599,11150.859903837212,11172.38988596234,11193.917913678211,11202.877427308022,11122.374950872663,11226.11096110211,562.2695788376514,540.7420863217885,531.7825726919782,0,0.0,0.0,0,0.0,3e-05,0.9520847149523164,0.9539192370020274,0.9546827455851317,0.9566626524417503,4.608076299797255,4.531725441486828
Scenario Alpha,Case B - CMM + CUM,Truncated normal,HVAC,100000,1026.73344657341,1159.42,1026.719104822924,5.447261128981117,1014.270666425356,1017.7803561505616,1026.710899225357,1035.7122570157887,1039.1565860676674,1004.4997111682562,1048.056355797046,132.70089517707606,123.70774298421134,120.2634139323327,0,0.0,0.0,0,0.0,3e-05,0.8855454492961342,0.893302045001629,0.8962727795515579,0.9039488328621604,10.669795499837102,10.372722044844206
