consumer_rank,item_description,system,nominal_load_kw,uncertainty_pct,sample_p99_kw,spearman_fw_load,spearman_overload
1,ITEM_000076,FW,886.459,0.13,992.9982586669922,0.9221938177641126,0.4712542741477333
2,ITEM_000418,FW,692.2614918,0.08,743.547573852539,0.8792455238937319,0.454782582086939
3,ITEM_000083,FW,111.398997,0.13,124.81668975830078,0.8522687231542732,0.4458643352372634
4,ITEM_000788,CW,74.60922889999999,0.18,87.0427635192871,0.8511582526413881,0.4448550480840814
5,ITEM_001333,FW,100.13457,0.13,112.18412292480468,0.8495268810968059,0.4428185778978659
6,ITEM_001098,CW,83.136,0.14,93.89556594848632,0.8479441283050199,0.4418011907659494
7,ITEM_000984,CW,59.805,0.14,67.57514442443848,0.8468415143094685,0.4423952459264221
8,ITEM_000983,CW,64.127,0.14,72.46759078979491,0.846531708159853,0.4427846679403842
9,ITEM_001109,FW,76.558,0.08,82.22358200073242,0.846524700860433,0.442245219523611
10,ITEM_000062,CW,22.286,0.35,29.506450405120844,0.8464734944677771,0.4414757953964045
