consumer_rank,item_description,system,nominal_load_kw,uncertainty_pct,sample_p99_kw,spearman_fw_load,spearman_overload
1,ITEM_000076,FW,886.459,0.13,992.9982586669922,0.9221938177641126,0.4712542741477333
2,ITEM_000418,FW,692.2614918,0.08,743.547573852539,0.8792455238937319,0.45478258208693906
3,ITEM_000083,FW,111.398997,0.13,124.81668975830078,0.8522687231542732,0.44586433523726343
4,ITEM_000788,CW,74.60922889999999,0.18,87.0427635192871,0.8511582526413881,0.44485504808408144
5,ITEM_001333,FW,100.13457,0.13,112.18412292480468,0.8495268810968059,0.4428185778978659
6,ITEM_001098,CW,83.136,0.14,93.89556594848632,0.8479441283050199,0.4418011907659494
7,ITEM_000984,CW,59.805,0.14,67.57514442443848,0.8468415143094685,0.44239524592642215
8,ITEM_000983,CW,64.127,0.14,72.46759078979491,0.846531708159853,0.44278466794038424
9,ITEM_001109,FW,76.558,0.08,82.22358200073242,0.846524700860433,0.442245219523611
10,ITEM_000062,CW,22.286,0.35,29.506450405120844,0.8464734944677771,0.4414757953964045
11,ITEM_000064,CW,20.404,0.35,27.0383044052124,0.8458790053537923,0.4416589198248493
12,ITEM_000025,CW,20.204,0.35,26.766050510406494,0.8458329263557053,0.4407655232792464
13,ITEM_000066,CW,17.67,0.35,23.382978172302245,0.8455231238712622,0.44309350491074867
14,ITEM_000093,HVAC,18.278,0.35,24.196573944091796,0.8450458445151902,0.44243292190725575
15,ITEM_000063,CW,18.7800696,0.35,24.85436128616333,0.84498589227628,0.44107056032086983
16,ITEM_000132,HVAC,48.583,0.14,54.89774936676025,0.8447708847008075,0.44171649760953235
17,ITEM_000688,FW,13.109,0.13,14.689883441925048,0.8441551058985759,0.4412941035116407
18,ITEM_000003,CW,9.368,0.35,12.394476308822632,0.844060166971005,0.4400061832605486
19,ITEM_000697,FW,46.678736,0.13,52.304603233337396,0.8437074503495684,0.44120937887137784
20,ITEM_000081,CW,29.306,0.14,33.109038238525386,0.8433514049704659,0.4417534875933732
21,ITEM_000115,CW,10.626,0.18,12.397401390075684,0.8433057409455467,0.43930822519485874
22,ITEM_000695,HVAC,0.008,0.35,0.010589579632505772,0.8431766400366172,0.4411550700193794
23,ITEM_000631,HVAC,0.58,0.35,0.7676623213291168,0.8430473560547642,0.4409013217435727
24,ITEM_001350,HVAC,0.118,0.35,0.15627323403954504,0.8429713005524835,0.4395290794906856
25,ITEM_000058,CW,3.005072,0.35,3.981038837432861,0.8429306214209082,0.43987072628120694
