term,effect_type,low_mean_response,high_mean_response,effect,absolute_effect
Uncertainty case: Case C vs Case A,Main effect,0.9566314880990553,1.0009943343267382,0.04436284622768294,0.04436284622768294
Correlation: rho 0.75 vs rho 0.25,Main effect,0.9738762039072779,0.9837496185185157,0.009873414611237807,0.009873414611237807
Dependency: global vs subsystem-block,Main effect,0.9743590048505177,0.9832668175752759,0.008907812724758157,0.008907812724758157
Uncertainty case x dependency model,Two-factor interaction,0.974921313144029,0.9827045092817646,0.007783196137735593,0.007783196137735593
Uncertainty case x correlation,Two-factor interaction,0.9749637015343277,0.982662120891466,0.007698419357138331,0.007698419357138331
Scenario: Bravo vs Alpha,Main effect,0.977325482945099,0.9803003394806945,0.0029748565355954826,0.0029748565355954826
Dependency model x correlation,Two-factor interaction,0.9775258144659772,0.9801000079598163,0.0025741934938391386,0.0025741934938391386
Distribution: truncated normal vs triangular,Main effect,0.9776502552244265,0.979975567201367,0.002325311976940525,0.002325311976940525
Scenario x uncertainty case,Two-factor interaction,0.9781585960031353,0.9794672264226583,0.0013086304195230047,0.0013086304195230047
Distribution x correlation,Two-factor interaction,0.9782900043801269,0.9793358180456666,0.0010458136655396855,0.0010458136655396855
