scenario,margin_case,distribution_model,dependency_model,rho,subsystem,simulations,deterministic_load_kw,capacity_kw,mean_load_kw,std_load_kw,p95_load_kw,p99_load_kw,max_load_kw,p95_spare_capacity_kw,p99_spare_capacity_kw,p95_load_to_capacity_ratio,p99_load_to_capacity_ratio,max_load_to_capacity_ratio,p95_capacity_margin_pct,p99_capacity_margin_pct,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower,overload_probability_ci95_upper,rule_of_three_upper_if_zero,scenario_code,margin_case_code,distribution_code,dependency_code,rho_code,generator_rho_code,margin_case_code_x_rho_code,dependency_code_x_rho_code,scenario_code_x_margin_case_code,margin_case_code_x_dependency_code,distribution_code_x_rho_code
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.25,FW,100000,11172.36557800847,11734.66,11172.410230881806,15.590551614687158,11198.167037781466,11207.78881951142,11229.430949104792,536.4929622185336,526.8711804885788,0.9542813373188032,0.9551012828246768,0.9569455739752828,4.571866268119687,4.489871717532326,0,0.0,0.0,0.0,0.0,3e-05,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.75,FW,100000,11172.36557800847,11734.66,11172.36333462722,21.108681077305345,11207.105707309052,11218.694574857987,11242.127894937646,527.5542926909475,515.9654251420125,0.9550430696167636,0.9560306455285444,0.9580275777003888,4.495693038323628,4.396935447145571,0,0.0,0.0,0.0,0.0,3e-05,-1,-1,-1,-1,1,1,-1,-1,1,1,-1
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,FW,100000,11172.36557800847,11734.66,11172.260688266,28.71118562869157,11219.644011676131,11233.781032923052,11246.413913209572,515.0159883238666,500.87896707694745,0.956111554290975,0.9573162778404362,0.9583928220510498,4.388844570902494,4.268372215956385,0,0.0,0.0,0.0,0.0,3e-05,-1,-1,1,1,1,1,-1,1,1,-1,1
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,FW,100000,11172.36557800847,11734.66,11172.352172175555,13.705893358725046,11194.987837672948,11203.611411342914,11222.787525645468,539.6721623270532,531.0485886570859,0.954010413396975,0.9547452939704189,0.9563794371243366,4.598958660302499,4.5254706029581255,0,0.0,0.0,0.0,0.0,3e-05,-1,-1,1,-1,-1,-1,1,1,1,1,-1
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,FW,100000,11172.36557800847,11734.66,11170.991830237796,340.5781377621276,11736.661523474404,11901.723648172903,12109.625523402246,-2.0015234744041663,-167.06364817290523,1.0001705651015371,1.0142367693800165,1.031953675982282,-0.0170565101537169,-1.4236769380016567,5077,0.05077,5.077,0.0494093532746691,0.0521306467253308,,-1,1,-1,1,1,1,1,1,-1,1,-1
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.25,FW,100000,11172.36557800847,11734.66,11172.079376770414,166.25216451720502,11446.811439160849,11547.651324628889,11764.83129970767,287.8485608391511,187.008675371113,0.9754702257381848,0.98406356252579,1.0025711268760809,2.4529774261815094,1.5936437474209988,4,4e-05,0.004,8.007840078401611e-07,7.919921599215985e-05,,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.25,FW,100000,11172.36557800847,11734.66,11172.14798157458,239.4100258673718,11567.627858838445,11708.421157614694,11988.829981524595,167.03214116155505,26.23884238530627,0.9857659155730498,0.9977639878458084,1.021659765304201,1.4234084426950169,0.2236012154191622,685,0.00685,0.685,0.006338778888112,0.0073612211118879,,-1,1,1,1,-1,-1,-1,-1,-1,1,-1
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,100000,11172.36557800847,11734.66,11173.248597898486,251.84516004777848,11589.53863582362,11726.98604452042,11997.620298805028,145.12136417637885,7.673955479578581,0.9876331002196588,0.999346043645101,1.0224088553741677,1.2366899780341216,0.0653956354898955,902,0.00902,0.902,0.0084340078679081,0.0096059921320918,,-1,1,1,-1,1,1,1,-1,-1,-1,1
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.75,FW,100000,4636.317392640301,4871.78,4636.245531864807,17.47070220066571,4665.268128664945,4674.132019258874,4684.033734074161,206.5118713350548,197.64798074112605,0.9576105917477687,0.9594300274763792,0.9614624909323,4.238940825223119,4.056997252362095,0,0.0,0.0,0.0,0.0,3e-05,1,-1,-1,1,1,1,-1,1,-1,-1,-1
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.25,FW,100000,4636.317392640301,4871.78,4636.281224711366,7.925392178626237,4649.412148202528,4654.507321106466,4670.447668670972,222.3678517974722,217.2726788935333,0.9543559331912624,0.9554017876641528,0.9586737637313204,4.564406680873772,4.459821233584713,0,0.0,0.0,0.0,0.0,3e-05,1,-1,-1,-1,-1,-1,1,1,-1,1,1
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.25,FW,100000,4636.317392640301,4871.78,4636.330827226708,11.328820389841756,4655.014088350333,4661.940730601552,4677.273402701843,216.76591164966703,209.83926939844787,0.9555058086264842,0.956927597428774,0.9600748397304156,4.449419137351585,4.30724025712261,0,0.0,0.0,0.0,0.0,3e-05,1,-1,1,1,-1,-1,1,-1,-1,-1,-1
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,100000,4636.317392640301,4871.78,4636.313539568359,14.00891656203617,4659.475374813948,4667.647507533489,4681.63712022346,212.30462518605145,204.13249246651048,0.9564215491696976,0.9580989920590604,0.9609705529033457,4.3578450830302575,4.190100794093955,0,0.0,0.0,0.0,0.0,3e-05,1,-1,1,-1,1,1,-1,-1,-1,1,1
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.25,FW,100000,4636.317392640301,4871.78,4636.479973154732,100.7376743581036,4803.243801091855,4863.883750730598,4992.366230239062,68.5361989081448,7.896249269401778,0.9859320004375928,0.9983791859916904,1.0247519859761858,1.4067999562407334,0.1620814008309443,766,0.00766,0.766,0.0071196182107524,0.0082003817892475,,1,1,-1,1,-1,-1,-1,-1,1,1,1
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.75,FW,100000,4636.317392640301,4871.78,4636.084509054687,102.37996010807626,4805.697650900717,4864.758695197388,4996.840328217358,66.08234909928251,7.021304802611667,0.9864356869359284,0.998558780404162,1.0256703562593874,1.3564313064071554,0.1441219595838003,793,0.00793,0.7929999999999999,0.0073802517906517,0.0084797482093482,,1,1,-1,-1,1,1,1,-1,1,-1,-1
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,FW,100000,4636.317392640301,4871.78,4636.610610100525,170.79761877709802,4920.831489189463,5003.217758889282,5070.6401291448055,-49.05148918946361,-131.43775888928212,1.0100684943058724,1.0269794118144255,1.0408187826923232,-1.0068494305872515,-2.697941181442556,9225,0.09225,9.225,0.0904564132474285,0.0940435867525715,,1,1,1,1,1,1,1,1,1,1,1
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.25,FW,100000,4636.317392640301,4871.78,4636.618217772304,80.35424728804398,4769.374035605393,4816.372919684414,4923.348884607155,102.4059643946066,55.40708031558552,0.9789797641940714,0.9886269330069122,1.0105852244163642,2.102023580592855,1.1373066993087848,59,0.00059,0.059,0.0004394939622792,0.0007405060377207,,1,1,1,-1,-1,-1,-1,1,1,-1,-1
