record_id,source_row,pbs_code,teamcenter_id,bom_id,item_description,system,nominal_load_kw,uncertainty_pct,standardised_coefficient,odds_ratio_per_std,abs_standardised_coefficient
76,75,PBS_GROUP_0006,TC_000009,BOM_000058,ITEM_000076,FW,886.459,0.13,15.26424798514092,4257735.419103932,15.26424798514092
439,438,PBS_GROUP_0017,TC_000372,BOM_000420,ITEM_000418,FW,692.2614918,0.08,7.623933903355997,2046.5974309114724,7.623933903355997
84,83,PBS_GROUP_0009,TC_000017,BOM_000066,ITEM_000083,FW,111.398997,0.13,2.563577151143517,12.982173551445602,2.563577151143517
820,819,PBS_GROUP_SMALL,TC_000753,BOM_000800,ITEM_000788,CW,74.60922889999999,0.18,2.3563664034686744,10.552538039658911,2.3563664034686744
1683,1682,PBS_GROUP_SMALL,TC_001616,BOM_001658,ITEM_001333,FW,100.13457,0.13,2.1332058320528056,8.441886748733724,2.1332058320528056
1024,1023,PBS_GROUP_SMALL,TC_000957,BOM_001003,ITEM_000983,CW,64.127,0.14,1.9208514682731674,6.826768772313246,1.9208514682731674
1190,1189,PBS_GROUP_0034,TC_001123,BOM_001169,ITEM_001098,CW,83.136,0.14,1.830627240600281,6.237798031892346,1.830627240600281
62,61,PBS_GROUP_0001,,BOM_000044,ITEM_000062,CW,22.286,0.35,1.6191126860394198,5.048608627608542,1.6191126860394198
153,152,PBS_GROUP_SMALL,TC_000086,BOM_000134,ITEM_000132,HVAC,48.583,0.14,1.4464802820168603,4.24813593000678,1.4464802820168603
64,63,PBS_GROUP_0001,,BOM_000046,ITEM_000064,CW,20.404,0.35,1.433506654437993,4.193378167996118,1.433506654437993
63,62,PBS_GROUP_0001,,BOM_000045,ITEM_000063,CW,18.7800696,0.35,1.4204347142350187,4.138919296364608,1.4204347142350187
25,24,PBS_GROUP_0001,,BOM_000025,ITEM_000025,CW,20.204,0.35,1.3201219857674233,3.7438780492435315,1.3201219857674233
1201,1200,PBS_GROUP_0033,TC_001134,BOM_001177,ITEM_001109,FW,76.558,0.08,1.3004993191497627,3.6711292752015012,1.3004993191497627
94,93,PBS_GROUP_SMALL,TC_000027,BOM_000038,ITEM_000093,HVAC,18.278,0.35,1.2897897646918934,3.6320228960289063,1.2897897646918934
720,719,PBS_GROUP_SMALL,TC_000653,BOM_000700,ITEM_000697,FW,46.678736,0.13,1.1466978274577524,3.147781211852686,1.1466978274577524
66,65,PBS_GROUP_0001,,BOM_000048,ITEM_000066,CW,17.67,0.35,1.126608905984757,3.0851766170710415,1.126608905984757
81,80,PBS_GROUP_0008,TC_000014,BOM_000063,ITEM_000081,CW,29.306,0.14,1.0921634756262542,2.9807158077808094,1.0921634756262542
1041,1040,PBS_GROUP_SMALL,TC_000974,BOM_001020,ITEM_001000,CW,22.532853600000003,0.14,1.0128728934986169,2.753500175613328,1.0128728934986169
2,1,PBS_GROUP_0001,,BOM_000002,ITEM_000002,CW,9.668,0.35,1.0114485551870391,2.749581051564105,1.0114485551870391
115,114,PBS_GROUP_0002,TC_000048,BOM_000096,ITEM_000113,HVAC,7.932,0.18,0.7302474933248398,2.0755942398306697,0.7302474933248398
117,116,PBS_GROUP_0002,TC_000050,BOM_000098,ITEM_000115,HVAC,4.959,0.18,0.7154065396001198,2.045017894043738,0.7154065396001198
652,651,PBS_GROUP_0001,TC_000585,BOM_000633,ITEM_000631,HVAC,0.58,0.35,0.7057443627400893,2.0253537218077255,0.7057443627400893
3,2,PBS_GROUP_0001,,BOM_000003,ITEM_000003,CW,9.368,0.35,0.7038839086368586,2.021589147160526,0.7038839086368586
58,57,PBS_GROUP_SMALL,,BOM_000040,ITEM_000058,CW,3.005072,0.35,0.6063678595890105,1.8337588187339222,0.6063678595890105
7,6,PBS_GROUP_0001,,BOM_000007,ITEM_000007,CW,1.8017594,0.35,0.6031219696693116,1.827816289085019,0.6031219696693116
1025,1024,PBS_GROUP_SMALL,TC_000958,BOM_001004,ITEM_000984,HVAC,11.981,0.14,0.5954744806181828,1.8138913971214996,0.5954744806181828
1936,1935,PBS_GROUP_0021,TC_001869,BOM_001911,ITEM_000688,HVAC,1.436,0.14,0.5817933716788505,1.7892443353191176,0.5817933716788505
718,717,PBS_GROUP_SMALL,TC_000651,BOM_000698,ITEM_000695,HVAC,0.008,0.35,0.5792059434924011,1.7846207782339063,0.5792059434924011
1049,1048,PBS_GROUP_SMALL,TC_000982,BOM_001028,ITEM_001008,HVAC,0.223,0.14,0.5529285214543284,1.7383363261717422,0.5529285214543284
1700,1699,,TC_001633,BOM_001675,ITEM_001350,HVAC,0.118,0.35,0.549464746777109,1.732325536844243,0.549464746777109
