scenario,margin_case,distribution_model,dependency_model,rho,subsystem,p99_load_to_capacity_ratio,p99_spare_capacity_kw,overload_probability_pct
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,FW,1.0269794118144255,-131.43775888928212,9.225
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,CW,1.0229121883121466,-31.89559910557296,4.077
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,FW,1.0210971397393829,-102.78062343953115,7.034999999999999
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,FW,1.0202101987479264,-237.1598108393409,6.941999999999999
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,CW,1.0166710557306478,-67.81885497561916,4.488
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,FW,1.016171756929388,-78.7852419734536,5.116
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,FW,1.0142367693800165,-167.06364817290523,5.077
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,CW,1.0132797478614004,-18.48647140289836,2.558
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,FW,1.0115597901315154,-56.31675436691421,3.592
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,FW,1.0106662987162451,-125.16538889357436,3.457
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,CW,1.0101539199190597,-41.306755465929655,2.947
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,FW,1.00611334803807,-71.73806068841805,2.262
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,CW,1.0042934859847144,-17.466158594977514,1.62
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,CW,1.0039325794696283,-5.474465228080362,1.342
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,1.0029597080706985,-14.41904658466683,1.534
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.25,FW,1.0019086944747169,-9.29873956803658,1.288
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,0.999346043645101,7.673955479578581,0.902
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,CW,0.998966062007524,4.20612178967167,0.8619999999999999
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.75,FW,0.998558780404162,7.021304802611667,0.7929999999999999
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.25,FW,0.9983791859916904,7.896249269401778,0.766
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,CW,0.9979300535822316,8.42066622426728,0.758
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.25,FW,0.9977639878458084,26.23884238530627,0.685
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,CW,0.9963350433634752,5.101912834573568,0.734
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.5,FW,0.9963150714279768,17.952161318610706,0.545
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.75,FW,0.995677195024241,50.72664663684009,0.446
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,CW,0.9956010405917888,6.12370341298265,0.6709999999999999
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.25,FW,0.994446854757293,65.16427135378399,0.374
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.5,FW,0.9934739671999404,76.58077605754806,0.26
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.75,CW,0.9932025342494684,27.65249852110765,0.376
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.5,FW,0.993035921992756,33.9274559541318,0.234
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.75,CW,0.9916013251794428,34.166313090515814,0.068
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.5,FW,0.9904983559635848,111.49856220835863,0.101
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.25,FW,0.9886269330069122,55.40708031558552,0.059
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.5,CW,0.9881836722439796,48.06953029115584,0.136
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.75,CW,0.9881126544497044,16.54813599365525,0.287
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.75,CW,0.9874960180569694,50.86694878316485,0.01
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.25,FW,0.9867882707659502,155.03515057363438,0.025
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.25,CW,0.9864906617453856,54.956798580066334,0.09
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.75,CW,0.986251477765142,19.139042832701307,0.036
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.25,FW,0.985806389627884,69.14814713866781,0.018
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.5,CW,0.984292335892782,63.899720048009385,0.039
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.25,FW,0.98406356252579,187.008675371113,0.004
