record_id,source_row,pbs_code,teamcenter_id,bom_id,item_description,system,nominal_load_kw,uncertainty_pct,sample_mean_kw,sample_p95_kw,sample_p99_kw,spearman_fw_load,spearman_overload,abs_spearman_fw_load,abs_spearman_overload
76,75,PBS_GROUP_0006,TC_000009,BOM_000058,ITEM_000076,FW,886.459,0.13,886.31616,972.0413696289062,992.9982586669922,0.9221938177641126,0.4712542741477333,0.9221938177641126,0.4712542741477333
439,438,PBS_GROUP_0017,TC_000372,BOM_000420,ITEM_000418,FW,692.2614918,0.08,692.3393,733.4183898925781,743.547573852539,0.8792455238937319,0.45478258208693906,0.8792455238937319,0.45478258208693906
84,83,PBS_GROUP_0009,TC_000017,BOM_000066,ITEM_000083,FW,111.398997,0.13,111.39499,122.119136428833,124.81668975830078,0.8522687231542732,0.44586433523726343,0.8522687231542732,0.44586433523726343
820,819,PBS_GROUP_SMALL,TC_000753,BOM_000800,ITEM_000788,CW,74.60922889999999,0.18,74.5845,84.5525650024414,87.0427635192871,0.8511582526413881,0.44485504808408144,0.8511582526413881,0.44485504808408144
1683,1682,PBS_GROUP_SMALL,TC_001616,BOM_001658,ITEM_001333,FW,100.13457,0.13,100.13811,109.78318519592285,112.18412292480468,0.8495268810968059,0.4428185778978659,0.8495268810968059,0.4428185778978659
1190,1189,PBS_GROUP_0034,TC_001123,BOM_001169,ITEM_001098,CW,83.136,0.14,83.12585,91.73339500427245,93.89556594848632,0.8479441283050199,0.4418011907659494,0.8479441283050199,0.4418011907659494
1025,1024,PBS_GROUP_SMALL,TC_000958,BOM_001004,ITEM_000984,CW,59.805,0.14,59.799335,66.0306884765625,67.57514442443848,0.8468415143094685,0.44239524592642215,0.8468415143094685,0.44239524592642215
1024,1023,PBS_GROUP_SMALL,TC_000957,BOM_001003,ITEM_000983,CW,64.127,0.14,64.12274,70.76281089782715,72.46759078979491,0.846531708159853,0.44278466794038424,0.846531708159853,0.44278466794038424
1201,1200,PBS_GROUP_0033,TC_001134,BOM_001177,ITEM_001109,FW,76.558,0.08,76.54887,81.08404808044433,82.22358200073242,0.846524700860433,0.442245219523611,0.846524700860433,0.442245219523611
62,61,PBS_GROUP_0001,,BOM_000044,ITEM_000062,CW,22.286,0.35,22.280254,28.052873229980467,29.506450405120844,0.8464734944677771,0.4414757953964045,0.8464734944677771,0.4414757953964045
64,63,PBS_GROUP_0001,,BOM_000046,ITEM_000064,CW,20.404,0.35,20.401428,25.702574825286863,27.0383044052124,0.8458790053537923,0.4416589198248493,0.8458790053537923,0.4416589198248493
25,24,PBS_GROUP_0001,,BOM_000025,ITEM_000025,CW,20.204,0.35,20.208437,25.46562891006469,26.766050510406494,0.8458329263557053,0.4407655232792464,0.8458329263557053,0.4407655232792464
66,65,PBS_GROUP_0001,,BOM_000048,ITEM_000066,CW,17.67,0.35,17.665386,22.23091917037964,23.382978172302245,0.8455231238712622,0.44309350491074867,0.8455231238712622,0.44309350491074867
94,93,PBS_GROUP_SMALL,TC_000027,BOM_000038,ITEM_000093,HVAC,18.278,0.35,18.276857,23.015173149108886,24.196573944091796,0.8450458445151902,0.44243292190725575,0.8450458445151902,0.44243292190725575
63,62,PBS_GROUP_0001,,BOM_000045,ITEM_000063,CW,18.7800696,0.35,18.777033,23.6425311088562,24.85436128616333,0.84498589227628,0.44107056032086983,0.84498589227628,0.44107056032086983
153,152,PBS_GROUP_SMALL,TC_000086,BOM_000134,ITEM_000132,HVAC,48.583,0.14,48.57933,53.614445114135734,54.89774936676025,0.8447708847008075,0.44171649760953235,0.8447708847008075,0.44171649760953235
1936,1935,PBS_GROUP_0021,TC_001869,BOM_001911,ITEM_000688,FW,13.109,0.13,13.109454,14.374928903579711,14.689883441925048,0.8441551058985759,0.4412941035116407,0.8441551058985759,0.4412941035116407
3,2,PBS_GROUP_0001,,BOM_000003,ITEM_000003,CW,9.368,0.35,9.364509,11.802826070785523,12.394476308822632,0.844060166971005,0.4400061832605486,0.844060166971005,0.4400061832605486
720,719,PBS_GROUP_SMALL,TC_000653,BOM_000700,ITEM_000697,FW,46.678736,0.13,46.674557,51.18494358062744,52.304603233337396,0.8437074503495684,0.44120937887137784,0.8437074503495684,0.44120937887137784
81,80,PBS_GROUP_0008,TC_000014,BOM_000063,ITEM_000081,CW,29.306,0.14,29.301193,32.35007934570312,33.109038238525386,0.8433514049704659,0.4417534875933732,0.8433514049704659,0.4417534875933732
117,116,PBS_GROUP_0002,TC_000050,BOM_000098,ITEM_000115,CW,10.626,0.18,10.623862,12.03506531715393,12.397401390075684,0.8433057409455467,0.43930822519485874,0.8433057409455467,0.43930822519485874
718,717,PBS_GROUP_SMALL,TC_000651,BOM_000698,ITEM_000695,HVAC,0.008,0.35,0.007998135,0.010074364999309181,0.010589579632505772,0.8431766400366172,0.4411550700193794,0.8431766400366172,0.4411550700193794
652,651,PBS_GROUP_0001,TC_000585,BOM_000633,ITEM_000631,HVAC,0.58,0.35,0.5799467,0.7302669048309326,0.7676623213291168,0.8430473560547642,0.4409013217435727,0.8430473560547642,0.4409013217435727
1700,1699,,TC_001633,BOM_001675,ITEM_001350,HVAC,0.118,0.35,0.117982395,0.14867258295416827,0.15627323403954504,0.8429713005524835,0.4395290794906856,0.8429713005524835,0.4395290794906856
58,57,PBS_GROUP_SMALL,,BOM_000040,ITEM_000058,CW,3.005072,0.35,3.004342,3.780521738529205,3.981038837432861,0.8429306214209082,0.43987072628120694,0.8429306214209082,0.43987072628120694
