record_id,source_row,pbs_code,teamcenter_id,bom_id,item_description,system,scenario,margin_case,nominal_load_kw,uncertainty_pct,triangular_lower_kw,triangular_mode_kw,triangular_upper_kw,truncnorm_lower_kw,truncnorm_mean_kw,truncnorm_upper_kw,truncnorm_sigma_kw,is_degenerate
1,0,PBS_GROUP_0001,,BOM_000001,ITEM_000001,CW,Scenario Alpha,Case A - CUM,14.872,0.15,12.6412,14.872,17.1028,12.6412,14.872,17.1028,1.1381632653061224,False
1,0,PBS_GROUP_0001,,BOM_000001,ITEM_000001,CW,Scenario Alpha,Case B - CMM + CUM,14.872,0.25,11.154,14.872,18.59,11.154,14.872,18.59,1.896938775510204,False
1,0,PBS_GROUP_0001,,BOM_000001,ITEM_000001,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,14.872,0.35,9.6668,14.872,20.0772,9.6668,14.872,20.0772,2.6557142857142857,False
1,0,PBS_GROUP_0001,,BOM_000001,ITEM_000001,CW,Scenario Bravo,Case A - CUM,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1,0,PBS_GROUP_0001,,BOM_000001,ITEM_000001,CW,Scenario Bravo,Case B - CMM + CUM,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1,0,PBS_GROUP_0001,,BOM_000001,ITEM_000001,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2,1,PBS_GROUP_0001,,BOM_000002,ITEM_000002,CW,Scenario Alpha,Case A - CUM,9.668,0.15,8.217799999999999,9.668,11.118199999999998,8.217799999999999,9.668,11.118199999999998,0.7398979591836734,False
2,1,PBS_GROUP_0001,,BOM_000002,ITEM_000002,CW,Scenario Alpha,Case B - CMM + CUM,9.668,0.25,7.2509999999999994,9.668,12.084999999999999,7.2509999999999994,9.668,12.084999999999999,1.2331632653061224,False
2,1,PBS_GROUP_0001,,BOM_000002,ITEM_000002,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,9.668,0.35,6.284199999999999,9.668,13.0518,6.284199999999999,9.668,13.0518,1.7264285714285712,False
2,1,PBS_GROUP_0001,,BOM_000002,ITEM_000002,CW,Scenario Bravo,Case A - CUM,9.668,0.15,8.217799999999999,9.668,11.118199999999998,8.217799999999999,9.668,11.118199999999998,0.7398979591836734,False
2,1,PBS_GROUP_0001,,BOM_000002,ITEM_000002,CW,Scenario Bravo,Case B - CMM + CUM,9.668,0.25,7.2509999999999994,9.668,12.084999999999999,7.2509999999999994,9.668,12.084999999999999,1.2331632653061224,False
2,1,PBS_GROUP_0001,,BOM_000002,ITEM_000002,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,9.668,0.35,6.284199999999999,9.668,13.0518,6.284199999999999,9.668,13.0518,1.7264285714285712,False
3,2,PBS_GROUP_0001,,BOM_000003,ITEM_000003,CW,Scenario Alpha,Case A - CUM,9.368,0.15,7.9628,9.368,10.7732,7.9628,9.368,10.7732,0.7169387755102041,False
3,2,PBS_GROUP_0001,,BOM_000003,ITEM_000003,CW,Scenario Alpha,Case B - CMM + CUM,9.368,0.25,7.026,9.368,11.71,7.026,9.368,11.71,1.1948979591836735,False
3,2,PBS_GROUP_0001,,BOM_000003,ITEM_000003,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,9.368,0.35,6.089200000000001,9.368,12.6468,6.089200000000001,9.368,12.6468,1.6728571428571428,False
3,2,PBS_GROUP_0001,,BOM_000003,ITEM_000003,CW,Scenario Bravo,Case A - CUM,9.368,0.15,7.9628,9.368,10.7732,7.9628,9.368,10.7732,0.7169387755102041,False
3,2,PBS_GROUP_0001,,BOM_000003,ITEM_000003,CW,Scenario Bravo,Case B - CMM + CUM,9.368,0.25,7.026,9.368,11.71,7.026,9.368,11.71,1.1948979591836735,False
3,2,PBS_GROUP_0001,,BOM_000003,ITEM_000003,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,9.368,0.35,6.089200000000001,9.368,12.6468,6.089200000000001,9.368,12.6468,1.6728571428571428,False
4,3,PBS_GROUP_0001,,BOM_000004,ITEM_000004,CW,Scenario Alpha,Case A - CUM,3.11978,0.15,2.6518129999999998,3.11978,3.587747,2.6518129999999998,3.11978,3.587747,0.23875867346938776,False
4,3,PBS_GROUP_0001,,BOM_000004,ITEM_000004,CW,Scenario Alpha,Case B - CMM + CUM,3.11978,0.25,2.339835,3.11978,3.899725,2.339835,3.11978,3.899725,0.3979311224489796,False
4,3,PBS_GROUP_0001,,BOM_000004,ITEM_000004,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.11978,0.35,2.027857,3.11978,4.211703,2.027857,3.11978,4.211703,0.5571035714285715,False
4,3,PBS_GROUP_0001,,BOM_000004,ITEM_000004,CW,Scenario Bravo,Case A - CUM,1.500141,0.15,1.2751198499999998,1.500141,1.7251621499999998,1.2751198499999998,1.500141,1.7251621499999998,0.11480670918367346,False
4,3,PBS_GROUP_0001,,BOM_000004,ITEM_000004,CW,Scenario Bravo,Case B - CMM + CUM,1.500141,0.25,1.12510575,1.500141,1.87517625,1.12510575,1.500141,1.87517625,0.19134451530612245,False
4,3,PBS_GROUP_0001,,BOM_000004,ITEM_000004,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,1.500141,0.35,0.97509165,1.500141,2.02519035,0.97509165,1.500141,2.02519035,0.26788232142857143,False
5,4,PBS_GROUP_0001,,BOM_000005,ITEM_000005,CW,Scenario Alpha,Case A - CUM,3.485204,0.15,2.9624234,3.485204,4.0079845999999995,2.9624234,3.485204,4.0079845999999995,0.26672479591836734,False
5,4,PBS_GROUP_0001,,BOM_000005,ITEM_000005,CW,Scenario Alpha,Case B - CMM + CUM,3.485204,0.25,2.613903,3.485204,4.356505,2.613903,3.485204,4.356505,0.44454132653061224,False
5,4,PBS_GROUP_0001,,BOM_000005,ITEM_000005,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.485204,0.35,2.2653826,3.485204,4.7050254,2.2653826,3.485204,4.7050254,0.6223578571428571,False
5,4,PBS_GROUP_0001,,BOM_000005,ITEM_000005,CW,Scenario Bravo,Case A - CUM,3.638,0.15,3.0923,3.638,4.1837,3.0923,3.638,4.1837,0.27841836734693876,False
5,4,PBS_GROUP_0001,,BOM_000005,ITEM_000005,CW,Scenario Bravo,Case B - CMM + CUM,3.638,0.25,2.7285,3.638,4.547499999999999,2.7285,3.638,4.547499999999999,0.46403061224489794,False
5,4,PBS_GROUP_0001,,BOM_000005,ITEM_000005,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,3.638,0.35,2.3647,3.638,4.9113,2.3647,3.638,4.9113,0.6496428571428571,False
6,5,PBS_GROUP_0001,,BOM_000006,ITEM_000006,CW,Scenario Alpha,Case A - CUM,3.692,0.15,3.1382,3.692,4.2458,3.1382,3.692,4.2458,0.28255102040816327,False
6,5,PBS_GROUP_0001,,BOM_000006,ITEM_000006,CW,Scenario Alpha,Case B - CMM + CUM,3.692,0.25,2.769,3.692,4.615,2.769,3.692,4.615,0.4709183673469388,False
6,5,PBS_GROUP_0001,,BOM_000006,ITEM_000006,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.692,0.35,2.3998000000000004,3.692,4.9842,2.3998000000000004,3.692,4.9842,0.6592857142857143,False
6,5,PBS_GROUP_0001,,BOM_000006,ITEM_000006,CW,Scenario Bravo,Case A - CUM,3.692,0.15,3.1382,3.692,4.2458,3.1382,3.692,4.2458,0.28255102040816327,False
