sample_size,subsystem,capacity_kw,mean_load_kw,p95_load_kw,p99_load_kw,p99_load_to_capacity_ratio,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower_pct,overload_probability_ci95_upper_pct,rule_of_three_upper_if_zero,previous_overload_probability_pct,previous_p99_load_to_capacity_ratio,change_from_previous_probability_pct_points,change_from_previous_p99_ratio
100,FW,4871.78,4644.4937,4879.214697265625,4980.07365234375,1.0222287649162627,7,0.07,7.000000000000001,1.9991184777081554,12.000881522291845,,,,,
114,FW,4871.78,4639.6953,4885.345654296875,4978.85458984375,1.0219785355339834,8,0.07017543859649122,7.017543859649122,2.328365841070459,11.706721878227786,,7.000000000000001,1.0222287649162627,0.01754385964912153,-0.0002502293822792545
131,FW,4871.78,4649.605,4904.328857421875,4978.500732421875,1.0219059014203997,11,0.08396946564885496,8.396946564885496,3.647575593412491,13.1463175363585,,7.017543859649122,1.0219785355339834,1.379402705236374,-7.263411358371386e-05
149,FW,4871.78,4645.9272,4905.31728515625,4977.7224609375,1.0217461504701568,12,0.08053691275167785,8.053691275167784,3.684233213274901,12.423149337060668,,8.396946564885496,1.0219059014203997,-0.34325528971771213,-0.00015975095024289843
171,FW,4871.78,4634.6636,4908.054931640625,4976.771240234375,1.0215508993087485,14,0.08187134502923976,8.187134502923977,4.077759736582135,12.296509269265817,,8.053691275167784,1.0217461504701568,0.13344322775619233,-0.00019525116140828302
195,FW,4871.78,4623.511,4907.524169921875,4975.733544921875,1.021337898041758,15,0.07692307692307693,7.6923076923076925,3.952183387771561,11.432431996843825,,8.187134502923977,1.0215508993087485,-0.4948268106162841,-0.00021300126699053124
223,FW,4871.78,4629.561,4909.116455078125,5001.3103125,1.0265878821498509,17,0.07623318385650224,7.623318385650224,4.140291332807706,11.106345438492744,,7.6923076923076925,1.021337898041758,-0.0689893066574685,0.005249984108092853
255,FW,4871.78,4627.7476,4905.166015625,4992.4846875,1.0247763009618662,18,0.07058823529411765,7.0588235294117645,3.9150139983497803,10.202633060473747,,7.623318385650224,1.0265878821498509,-0.5644948562384595,-0.0018115811879846344
291,FW,4871.78,4625.459,4892.458251953125,4982.555859375,1.0227382721253835,20,0.06872852233676977,6.872852233676976,3.966045007567308,9.779659459786645,,7.0588235294117645,1.0247763009618662,-0.1859712957347881,-0.0020380288364827415
332,FW,4871.78,4629.5337,4901.26962890625,4988.502026367188,1.023958804865406,25,0.07530120481927711,7.530120481927711,4.691625453684296,10.368615510171129,,6.872852233676976,1.0227382721253835,0.6572682482507348,0.0012205327400225396
380,FW,4871.78,4628.9404,4904.608154296875,4995.555317382812,1.0254065900723786,30,0.07894736842105263,7.894736842105263,5.183450876962684,10.606022807247841,,7.530120481927711,1.023958804865406,0.3646163601775516,0.0014477852069725294
434,FW,4871.78,4634.3945,4909.519750976562,5002.414506835938,1.0268145332580572,38,0.08755760368663594,8.755760368663594,6.096499956560699,11.41502078076649,,7.894736842105263,1.0254065900723786,0.8610235265583315,0.0014079431856786062
496,FW,4871.78,4638.8066,4907.3914794921875,4993.159008789063,1.0249147147016209,46,0.09274193548387097,9.274193548387096,6.721382155756572,11.827004941017622,,8.755760368663594,1.0268145332580572,0.5184331797235018,-0.0018998185564362835
567,FW,4871.78,4637.9727,4908.585693359375,4991.925009765625,1.0246614193920138,51,0.08994708994708994,8.994708994708994,6.639706226938388,11.3497117624796,,9.274193548387096,1.0249147147016209,-0.27948455367810254,-0.00025329530960704894
648,FW,4871.78,4637.658,4906.582421875,4992.065375976563,1.0246902314916855,58,0.08950617283950617,8.950617283950617,6.752587539437957,11.148647028463277,,8.994708994708994,1.0246614193920138,-0.04409171075837648,2.8812099671648994e-05
741,FW,4871.78,4641.8345,4906.72802734375,4992.11708984375,1.024700846475775,69,0.0931174089068826,9.31174089068826,7.21937350816238,11.404108273214138,,8.950617283950617,1.0246902314916855,0.36112360673764243,1.061498408949646e-05
